Business Title	Address	Phone	Categories
Heffernan Joe BA MA H.Dip. COUNS	Glenside Boherbue Mallow    Co. Cork	(029)76617	{'Occupational Health'}
Coleman Seán	Rathduff Grenagh Cork    Co. Cork	(021)4886151	{'Milking Machines'}
Granary The	148 Main st Mallow   Co. Cork	(022)42412	{'Natural Food Stores'}
Munster Labels Ltd	Quartertown Ind Est Mallow  P51W7VH Co. Cork	(022)42640	{'Labels'}
Cork Racecourse Mallow Ltd	Killarney rd Mallow Co Cork   Co. Cork	(022)50207	{'Race Courses'}
Philip's Bookshop	36 Bank pl Mallow  P51 K7NY Co. Cork	(022)42471	{'School Supplies'}
Donovan Marian	3 Chapel Lane, Co. Cork	(022)42413	{'GPS'}
Kelleher Dr Catherine	The Surgery Newtwopot Hse Mallow   Co. Cork	(022)43406	{'GPS'}
O'Flynn Dr Mary	Medical cntr Carmichael st Mallow   Co. Cork	(022)51992	{'GPS'}
Medical Centre	Mallow Primary Healthcare Centre Mallow Business Park Gould's Hill Mallow P51 Y8EC Co. Cork	(022)21551	{'GPS'}
Brosnan Dr Eibhlis	Medical Ctr The Laurels Castlepark Mallow  P51TK53 Co. Cork	(022)20134	{'GPS'}
Heffernan Dr	Cork rd Clinic Mallow   Co. Cork	(022)21579	{'GPS'}
Hyde Dr Betty	Cork rd Clinic Cork rd Mallow   Co. Cork	(022)21579	{'GPS'}
Brennan Dr Kevin MRCGP	The Red House Family Practice  Mallow   Co. Cork	(022)21478	{'GPS'}
Bourke Dr John	Liscarroll Mallow Co Cork    Co. Cork	(022)48340	{'GPS'}
Goodall, Dr Vanessa	The Red House Family Practice  Mallow   Co. Cork	(022)21478	{'GPS'}
Heffernan Dr Anthony	Old Cork rd Mallow   Co. Cork	(022)21579	{'GPS'}
Molony Dr David	The Red House Family Practice  Mallow   Co. Cork	(022)21478	{'GPS'}
Christopher Dr Wm	Westend Mallow    Co. Cork	(022)21508	{'GPS'}
Stitches Babywear	U9  Shopping Arcade Mallow   Co. Cork	(022)20281	{'Yarn', 'Yarn Stores'}
General Analytical Laboratories	Unit D Quatertown Industrial Estate Mallow Co. Cork	(022) 20122	{'Laboratories'}
Office Of Public Works - National Monuments	Services This Area	(022)42278	{'Office of Public Works'}
West Coast Cruising School	Cork   Co. Cork	(087)2351976	{'Sailing Schools'}
Quality Services International Ltd		086 263 5113	{'Quality Management'}
SCS Express Industrial Electronics Repair	Altamira Liscarroll Mallow   Co. Cork	(022)48577	{'Electronic Equipment'}
Donlouco	Blackwater House Mallow Business Park Goulds Hill Mallow   Co. Cork	(022)57622	{'Electronic Equipment'}
Corktowns.com	U 2A The Shopping Centre 126 Main Street Mallow  Co. Cork	(022)55002	{'Advertising Agencies'}
Irohaul Ltd		(022) 43701	{'Heavy Haulage'}
Mallow Transport Ltd	Ballyellis, Mallow, Co. Cork	(022)22986	{'Heavy Haulage'}
Cullinane Jeremiah	Ballymorisheen Grenagh    Co. Cork	(021)4886400	{'Heavy Haulage'}
O'Connor David	Ballysimon Dromahane Mallow    Co. Cork	(021)7333023	{'Heavy Haulage'}
O'Connor Patk	Rockvale Mourneabbey Mallow    Co. Cork	(022)29124	{'Heavy Haulage'}
Hartnett Donal	19 Canon Sheehan pl Mallow   Co. Cork	(022)42407	{'Heavy Haulage'}
O'Hanlon Transport (Mourneabbey) Ltd	Monaparson Mourneabbey Mallow    Co. Cork	(022)29290	{'Heavy Haulage'}
Drum Transport Ltd.	Brittas, Lombardstown Mallow   Co. Cork	(022)47264	{'Heavy Haulage'}
Drom Transport Ltd	Brittas Lombardstown Mallow   Co. Cork	(022)47264	{'Heavy Haulage'}
Looney Transport	Graigue Shanballymore Mallow    Co. Cork	(022)25170	{'Heavy Haulage'}
Kenny Transport	Greystones Grenagh    Co. Cork	(021)4886186	{'Heavy Haulage'}
Lucey's The Good Food Shop		(022) 21130	{'Party Planners'}
Primary Focus Heating & Plumbing	Aeveen, Ballyhass, Cecilstown Mallow, Cork, Co. Cork	(087)6288804	{'Valve Repair'}
Direct Office Supplies	Fair st Mallow   Co. Cork	(022)50411	{'Office Fit Out'}
Hannon Michael	Graigue Shanballymore Mallow    Co. Cork	(022)25286	{'Radiator Covers'}
Fitzpatrick Gerard	5960 Main st Mallow   Co. Cork	(022)21138	{'Jewellery'}
Finn J H (Mallow) Ltd	113 Main st Mallow   Co. Cork	(022)21738	{'Jewellery'}
O'Donovan Ml	126 Main st Mallow   Co. Cork	(022)42126	{'Jewellery'}
Buckley Quarries Ltd	Carraigcleena Bweeng Mallow Co Cork    Co. Cork	(021)7333051	{'Quarries'}
O'Connor Architectural Design & Planning		(022) 53520	{'Design and Development Engineers'}
DykIT	34 Manor Park   Mallow  Co. Cork	(022)31489	{'IT Services'}
eDigitCom	Mallow     Co. Cork	(022)78636	{'IT Services'}
Pharmacy First Plus Grenagh	Grenagh Commercial Centre  Grenagh Cork  Co. Cork	(021)4629918	{'Passport Photographs'}
Just Ice Ltd	Quartertown Ind Est Mallow   Co. Cork	(022)52338	{'Ice Manufacturing'}
OSN Green Consultants	Toureen South Burnfort Mallow Cork   Co. Cork	(087)6177222	{'Water and Wind Power Equipment'}
